ID,Price,Brand,Model,Year,Title_Status,Mileage,Color,State,Country,Condition
1,2899,ford,se,2011,clean vehicle,190552,silver,tennessee, usa,6 days left
2,5350,dodge,mpv,2018,clean vehicle,39590,silver,georgia, usa,2 days left
3,25000,ford,door,2014,clean vehicle,64146,blue,virginia, usa,22 hours left
4,27700,chevrolet,1500,2018,clean vehicle,6654,red,florida, usa,22 hours left
5,5700,dodge,mpv,2018,clean vehicle,45561,white,texas, usa,2 days left
6,7300,chevrolet,pk,2010,clean vehicle,149050,black,georgia, usa,22 hours left
7,13350,gmc,door,2017,clean vehicle,23525,gray,california, usa,20 hours left
8,14600,chevrolet,malibu,2018,clean vehicle,9371,silver,florida, usa,22 hours left
9,5250,ford,mpv,2017,clean vehicle,63418,black,texas, usa,2 days left
10,10400,dodge,coupe,2009,clean vehicle,107856,orange,georgia, usa,22 hours left
11,12920,gmc,mpv,2017,clean vehicle,39650,white,california, usa,20 hours left
12,31900,chevrolet,1500,2018,clean vehicle,22909,black,tennessee, usa,22 hours left
13,5430,chrysler,wagon,2017,clean vehicle,138650,gray,texas, usa,2 days left
14,20700,ford,door,2013,clean vehicle,100757,black,virginia, usa,22 hours left
15,12710,gmc,door,2017,clean vehicle,25747,white,california, usa,20 hours left
16,5200,kia,forte,2018,clean vehicle,46194,blue,north carolina, usa,2 days left
17,16500,buick,encore,2018,clean vehicle,20002,red,tennessee, usa,22 hours left
18,5210,ford,mpv,2017,clean vehicle,35714,white,texas, usa,2 days left
19,38100,ford,door,2013,clean vehicle,54380,gray,virginia, usa,22 hours left
20,12520,gmc,door,2017,clean vehicle,30114,white,california, usa,20 hours left
21,7300,kia,forte,2018,clean vehicle,38823,black,north carolina, usa,2 days left
22,15000,chevrolet,door,2015,clean vehicle,61578,black,ohio, usa,2 days left
23,6180,ford,mpv,2017,clean vehicle,46010,blue,texas, usa,2 days left
24,20800,ford,door,2013,clean vehicle,105510,silver,virginia, usa,22 hours left
25,11900,gmc,door,2017,clean vehicle,28040,silver,california, usa,20 hours left
26,21500,kia,sorento,2020,clean vehicle,11451,blue,north carolina, usa,2 days left
27,12000,buick,door,2014,clean vehicle,31039,brown,ohio, usa,2 days left
28,4190,ford,doors,2017,clean vehicle,44174,white,texas, usa,2 days left
29,13000,ford,chassis,2008,clean vehicle,93698,white,tennessee, usa,22 hours left
30,12710,gmc,door,2017,clean vehicle,26364,silver,california, usa,20 hours left
31,18500,infiniti,q70,2016,clean vehicle,71967,gray,new york, usa,19 hours left
32,29800,chevrolet,camaro,1973,clean vehicle,46226,red,pennsylvania, usa,22 hours left
33,5330,ford,mpv,2017,clean vehicle,37792,no_color,texas, usa,2 days left
34,13000,ford,convertible,2003,clean vehicle,58817,gray,virginia, usa,22 hours left
35,11900,gmc,door,2017,clean vehicle,27965,black,california, usa,20 hours left
36,16600,mercedes-benz,vans,2016,clean vehicle,110907,white,new york, usa,19 hours left
37,19200,chevrolet,1500,2018,clean vehicle,2430,white,tennessee, usa,22 hours left
38,7320,ford,mpv,2017,clean vehicle,32366,gold,texas, usa,2 days left
39,7000,ford,pk,2003,clean vehicle,176567,white,tennessee, usa,22 hours left
40,12710,gmc,door,2017,clean vehicle,30049,white,california, usa,20 hours left
41,16600,mercedes-benz,vans,2016,clean vehicle,97983,white,new york, usa,19 hours left
42,30500,chevrolet,1500,2018,clean vehicle,30442,red,tennessee, usa,22 hours left
43,6330,ford,mpv,2017,clean vehicle,38123,red,texas, usa,2 days left
44,55000,ford,srw,2017,clean vehicle,15273,black,pennsylvania, usa,3 days left
45,12520,gmc,door,2017,clean vehicle,28972,black,california, usa,20 hours left
46,16200,jeep,compass,2019,clean vehicle,30061,red,north carolina, usa,2 days left
47,19000,chevrolet,malibu,2017,clean vehicle,18414,white,tennessee, usa,22 hours left
